service_date,client_id,stock,vin_number
2025-08-14,1,B35397A,WBA73BJ01NWX80043
2025-08-14,1,B35098B,JN8AZ2NE9H9158407
2025-08-14,1,B35396A,5UXCR6C00P9R37565
2025-08-14,1,B35381A,2T2BZMCA0HC092833
2025-08-12,1,L34016A,WBA5R7C56KFH09334
2025-08-12,1,B35424A,JTMBFREV5GJ090251
2025-08-12,1,B35103B,5UXCW2C06L9C07657
2025-08-12,1,B34981A,5UXCR6C54KLL51622
2025-08-12,1,B35232B,3MW39FS04P8C81543
2025-08-12,1,B35413A,WBX73EF05P5W88345
2025-08-12,1,L33952A,WBA8E3G51GNT77521
2025-08-12,1,BN28879,5YM23ET04S9Z14671
2025-08-12,1,B35347A,5UXTY5C01L9C80947
2025-08-12,1,B35106A,5UXKR0C57JL073841
2025-08-07,1,B35209A,WBX63GM04S5121031
2025-08-07,1,L33545B,5YJ3E1EB7NF173828
2025-08-07,1,BN28878,5UX43EU00S9Z94534
2025-08-07,1,B33975A,5UX33EU09R9T35275
2025-08-06,1,B35421A,WBX73EF02P5Y25001
2025-08-06,1,B35214B,5UXKR0C50F0P17172
2025-08-06,1,B35145A,5UXCR6C0XP9P73113
2025-08-06,1,B35436A,5UX53DP02P9R13051
2025-08-06,1,B35213A,5UX23EM05P9P19465
2025-08-04,1,BN28873,WDC0G4KB7KV194947
2025-08-04,1,BN28876,WBY1Z4C5XGV506083
2025-08-04,1,B35420A,JF2SJAAC2GG526007
2025-08-04,1,B35061A,5UX33EU0XS9W76691
2025-08-04,1,B35378A,3VVWX7B21NM096854
2025-08-02,1,B35287A,WA1LAAF75HD031456
2025-08-02,1,B35057B,5NMS5DAL3PH516339
2025-08-01,1,L34538A,WBAJE7C36HG887351
2025-08-01,1,BN28872,WBA13BJ04NCK41777
2025-08-01,1,B35380A,WBA13AL08L7F87993
2025-08-01,1,B35302A,WA1AECF3XL1107588
2025-08-01,1,B35273A,WBX57DP06NN172156
2025-08-01,1,B35338A,WA1AHAF74KD017977
2025-08-01,1,B35316A,5UX53DP08P9N72397
2025-08-01,1,B35112A,5UX53DP00N9K29693
2025-08-01,1,B35335B,1HGCV2F53KA009299
2025-08-01,1,BN28868A,1C4RJFAG2MC700755
2025-07-30,1,B35030A,5UXTS1C01M9H84717
2025-07-30,1,B35251A,5UXCR6C03N9K98790
2025-07-30,1,B35116A,5UX83DP00P9P51725
2025-07-30,1,B35338A,WA1AHAF74KD017977
2025-07-30,1,B35335B,1HGCV2F53KA009299
2025-07-30,1,B35273A,WBX57DP06NN172156
2025-07-29,1,B35350A,TRUAEAFV1P1005717
2025-07-29,1,B35231A,5UXCR6C03P9R41772
2025-07-29,1,XXXX,4S3BWAD62N3018954
2025-07-29,1,B35244A,WAUDNAF44JA168459
2025-07-29,1,B34844C,3TMCZ5AN5HM088787
2025-07-29,1,L33811B,1C4RJFBG5GC381645
2025-07-26,1,B35244A,WAUDNAF44JA168459
2025-07-26,1,B34844C,3TMCZ5AN5HM088787
2025-07-26,1,L33811B,1C4RJFBG5GC381645
2025-07-26,1,B34844C,3TMCZ5AN5HM088787
2025-07-25,1,BN28870,WBA43AT03PCM86240
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
